# One clue per answer, written once and reused by every grid that needs the
# word. A puzzle is the grid; the clues are this table. Answers are the only
# vocabulary the generator may use, so every generated puzzle is clued by
# construction and nothing ships with a blank clue.
#
# ANSWER<tab>clue
ACE	Card above a king
COUNT	Number them off
COURT	Where a case is heard
COVER	Put a lid on
CRAFT	Skilled making
CRASH	Sudden loud smash
CREAM	Rises on the milk
CRIME	Breaking the law
CROSS	Two lines over each other
CROWD	Many people together
CROWN	Worn by a king
CURVE	Bend in the road
CYCLE	Ride on two wheels
DAILY	Every day
DANCE	Move to music
DEPTH	How far down
DOZEN	Twelve
DRAFT	First rough try
DRAMA	Play for the stage
DREAM	Comes while asleep
DRESS	Worn by a woman
DRIFT	Float along
DRINK	Swallow a liquid
DRIVE	Take the wheel
EAGER	Keen to start
EARLY	Before the time
EARTH	Our planet
EIGHT	Twice four
EMPTY	Nothing in it
ENEMY	Not a friend
ENJOY	Take pleasure in
ENTER	Go in
EQUAL	Just the same
ERROR	Mistake
EVENT	Something that happens
EVERY	Each one
EXACT	Right to the letter
EXTRA	More than needed
FAITH	Firm belief
FIELD	Grazing ground
FIGHT	Come to blows
FINAL	Last of all
FIRST	Before the rest
FLAME	Tip of a fire
FLASH	Sudden light
FLOAT	Stay on the surface
FLOOR	You walk on it
FLOUR	Ground wheat
FOCUS	Sharpen the picture
FORCE	Push or pull
FRAME	Holds the picture
FRESH	Newly picked
FRONT	Facing forward
FROST	White on the grass
FRUIT	Grows on the tree
GIANT	Very large
GLASS	Window is made of it
GLOBE	Model of the world
GRAIN	Single seed
GRAND	On a great scale
GRASS	Mown in summer
GREAT	Very fine indeed
GREEN	Colour of leaves
GROUP	Set of people
GUARD	Keeps watch
GUESS	Answer without knowing
GUEST	Invited to stay
GUIDE	Shows the way
HABIT	What you always do
HAPPY	Full of cheer
HEART	Pumps the blood
HEAVY	Hard to lift
HORSE	Ridden with a saddle
HOTEL	Rooms for the night
HOUSE	Home with a roof
HUMAN	One of us
IMAGE	Picture of a thing
INDEX	List at the back
INNER	Further in
ISSUE	Number of a magazine
JUDGE	Sits in the court
JUICE	Squeezed from fruit
KNIFE	Cuts the bread
KNOCK	Rap at the door
LABEL	Names the jar
LARGE	Big
LATER	After this
LAUGH	Break into mirth
LAYER	One thickness
LEARN	Take in a lesson
LEAST	Smallest amount
LEAVE	Go away from
LEGAL	Allowed by law
LEMON	Sour yellow fruit
LEVEL	Perfectly flat
LIGHT	Not heavy
LIMIT	As far as allowed
LOCAL	From nearby
LOGIC	Sound reasoning
LOOSE	Not tied down
LOWER	Let down
LOYAL	True to a friend
LUCKY	Fortune favours them
LUNCH	Midday meal
MAGIC	Tricks and spells
MAJOR	Greater of two
MARCH	Walk in step
MATCH	Strikes a flame
MAYBE	Possibly
MEDAL	Hung on a ribbon
METAL	Iron or copper
MINOR	Lesser of two
MIXED	Stirred together
MODEL	Small copy
MONEY	Coins and notes
MONTH	Thirty days or so
MORAL	Lesson of the tale
MOTOR	Drives the wheels
MOUSE	Small grey nibbler
MOUTH	Speaks with it
MUSIC	Played or sung
NERVE	Carries the feeling
NEVER	Not at any time
NIGHT	Dark hours
NOBLE	High born
NOISE	Unwanted sound
NORTH	Opposite of south
NOTED	Well known
NOVEL	Long story
NURSE	Cares for the sick
OCEAN	Vast sea
OFFER	Hold out for taking
ORDER	Put in sequence
ORGAN	Pipes in a church
OTHER	The remaining one
OUTER	Further out
OWNER	Has the deeds
PAINT	Brushed on a wall
PANEL	Flat board
PAPER	Written on
PARTY	Gathering for fun
PATCH	Sewn over a hole
PEACE	No more war
PEARL	Grown in an oyster
PHONE	Ring on it
PHOTO	Taken with a camera
PIANO	Eighty-eight keys
PIECE	Part of the whole
PILOT	Flies the plane
PITCH	Where the match is played
PLACE	Spot on the map
PLAIN	Simple and clear
PLANE	Flies overhead
PLANT	Grows in soil
PLATE	Dinner is served on it
POINT	Sharp end
POUND	Weight of sixteen ounces
POWER	Strength to act
PRESS	Push down on
PRICE	What it costs
PRIDE	Proper self regard
PRIME	First in rank
PRINT	Put on paper
PRIZE	Won in a contest
PROOF	Settles the argument
PROUD	Pleased with it
PROVE	Show beyond doubt
QUEEN	Wears the crown
QUICK	Done in a moment
QUIET	Making no sound
QUITE	Rather
RADIO	Brings the news
RAISE	Lift up
RANGE	Mountains in a row
RAPID	Very fast
RATIO	One number to another
REACH	Stretch out to
READY	Set to begin
RIGHT	Not left
RIVER	Runs to the sea
ROUGH	Not smooth
ROUND	Shaped like a ball
ROUTE	Way to go
ROYAL	Of the king
RURAL	Of the countryside
SALAD	Bowl of leaves
SCALE	Weighs it
SCENE	Part of an act
SCORE	Twenty
SENSE	Good judgement
SERVE	Wait at table
SEVEN	Days in a week
SHADE	Out of the sun
SHAKE	Move to and fro
SHAPE	Form of a thing
SHARE	Divide between you
SHARP	Keen edged
SHEEP	Grown for wool
SHEET	Covers the bed
SHELF	Books rest on it
SHIFT	Move over
SHINE	Give off light
SHIRT	Buttoned at the front
SHOCK	Sudden jolt
SHORE	Edge of the sea
SHORT	Not long
SIGHT	What you can see
SINCE	From then on
SIXTY	Minutes in an hour
SKILL	Learned ability
SLEEP	Rest with eyes shut
SMALL	Little
SMART	Quick to learn
SMELL	Take in through the nose
SMILE	Turn up the mouth
SMOKE	Rises from a fire
SNAKE	Legless slitherer
SOLAR	Of the sun
SOLID	Not liquid
SOLVE	Work it out
SOUND	Reaches the ear
SOUTH	Opposite of north
SPACE	Room to move
SPARE	Kept in reserve
SPEAK	Say something
SPEED	Rate of going
SPELL	Write the letters
SPEND	Part with money
SPINE	Backbone
SPLIT	Divide in two
SPORT	Game with rules
STAGE	Actors stand on it
STAIR	One step of a flight
STAND	Be on your feet
START	Begin
STATE	Say plainly
STEAM	Rises from the kettle
STEEL	Hardened iron
STEEP	Hard to climb
STICK	Fallen branch
STILL	Not moving
STONE	Rock in the hand
STORE	Keep for later
STORM	Wind and rain
STORY	Tale told
STUDY	Read to learn
STYLE	Way of doing it
SUGAR	Stirred into tea
SWEET	Not sour
SWIFT	Very quick
TABLE	Four legs and a top
TASTE	Tell by the tongue
TEACH	Give a lesson
TEETH	Bite with them
THANK	Say you are grateful
THEME	Idea running through
THICK	Not thin
THIEF	Takes what is not theirs
THING	Any object
THINK	Turn over in the mind
THIRD	After second
THREE	One more than two
THROW	Send through the air
TIGHT	Hard to loosen
TITLE	Name of the book
TODAY	This very day
TOKEN	Small sign of it
TOPIC	What is being discussed
TOTAL	The whole sum
TOUCH	Feel with the hand
TOUGH	Hard to chew
TOWER	Tall and narrow
TRACK	Path worn by feet
TRADE	Buy and sell
TRAIL	Rough path
TRAIN	Runs on rails
TREAT	Something special
TREND	Way things are going
TRIAL	Test of it
TRIBE	People of one kin
TRICK	Clever deceit
TRUCK	Carries the load
TRUNK	Stem of a tree
TRUST	Take on faith
TRUTH	What is so
TWICE	Two times
UNCLE	Mother's brother
UNDER	Below
UNION	Joined together
UNITE	Bring together
UNTIL	Up to the time
UPPER	Higher one
URBAN	Of the town
USAGE	How it is used
USUAL	As a rule
VALUE	What it is worth
VIDEO	Moving picture
VISIT	Call on
VITAL	Cannot do without
VOICE	Speaks with it
WASTE	Throw away
WATCH	Worn on the wrist
WATER	Fills the glass
WHEEL	Turns on an axle
WHERE	In what place
WHICH	What one
WHILE	During the time
WHITE	Colour of snow
WHOLE	All of it
WOMAN	Grown female
WORLD	All of the earth
WORRY	Turn it over anxiously
WORSE	Less good
WORTH	Deserving of it
WOULD	Might, given the chance
WRITE	Put down in words
WRONG	Not right
WROTE	Put it down
YIELD	Give way
YOUNG	Early in life
YOUTH	Young person
